code,age_group
cdf336e832874,0
7df24e749bb17,1
f0f2d281e7e4,2
f8b7b8eb6ec54,3
2ff4544f62747,4
9f71969064233 ,5
15f66d4ae7efe,6
a34932539d199,7
fe644291b68df,8
3a1ec6ce67314,9
375a3be641bb1,10
cd411d2588186,11
119b24801da45,12
e4de1e7008937,13
344ad4e662822,0
c2dbc505575d3,1
49ee5b7efe63c,2
1d70b32c8ad1b,3
bf7e0bd7c1939,4
03993d432fa92,5
4228abfd9f863,6
9f3a780814451,7
bf6c2bf09f513,8
e643f38c2b60e,9
25d9a6f9eca45,10
ec1bce5f03f5d,11
ed7b4249729c6,12
abe737550f779,13
0f64d3c6e100b,0
05da0d63b3c42,1
6c2e46cd213a6,2
c4b45b5a80482,3
0c53014992914,4
c519ea1bfda8f,5
2b395fc4e7a,6
fb655c2a8b3dd,7
4b69f1366b359,8
3cbe8d1964f02,9
5f17065180833,10
f9428135d67773,11
82e7e249646c7,12
0f248ce903a4c,13
72be94583010d,0
8f9696941588a,1
c9887c6940002,2
4b64b21af4f7b,3
29902756f9508,4
434abc437c30f,5
85b813dec57b6,6
cb229a1ba0adb,7
5972382fd12d2,8
fb0daed2ba8bb,9
9ef31e7919b3,10
fec0e1367cc68,11
81aa33c333f95,12
0e81ace3d683,13
21f35a6f8fbd6,0
b623c4c23ecec,1
274872a814dfb,2
70f56de6a8c33,3
6cfd34768001f,4
ca0a33ac04c84,5
ccb152d48c0c8,6
d0466fadfa1b7,7
5cf2b8800b176,8
a2d9985cda127,9
f745d612dd13e,10
b163b1c9ffaae,11
e016574c60275,12
a7bfc3ed941bd,13
61e7e424e6454,0
c2bab55de4e9e,1
4b91f9d199f26,2
92577836f8e07,3
5f0bc30d9a5c5,4
6d4d5b40230d8,5
fe3c9f98f43dd,6
213f11649d387,7
a240dcfa867b1,8
bbf6b4711270f,9
517e28919099d,10
e538741f613b5,11
88713c786e75d,12
4e1a8646a7f14,13
a4aa85730dac7,0
cbbfa1dc9ea46,1
007826deda6b9,2
1fb239a8ebb69,3
15ba9c14e119,4
d7ec4bbbc9d6,5
d35a342219052,6
b0292f693ea53,7
2be7e89129849,8
c53862bdedd15,9
414e475f23745,10
6201cfccef5,11
cdd239dd3b41e,12
c3ca5cd833fa2,13
f2d011a084586,0
4329cffa8a4c5,1
d819d8d3c0bcc,2
9f37af1ea8d74,3
d2fbb1d0e5183,4
1f3b6ea5eead7,5
efa9ea44d2a7a,6
dfa9a05e76b99,7
02726264e4609,8
295279e913aa7,9
f14ca1b4d95f4,10
6294c17514ea3,11
ede1a6fc731f9,12
9c6aec263f985,13
362bb6566caa8,0
5d8bdf7a59442,1
2cc1aa8ec3ecc,2
1f0d3adc8eef,3
cf6f83f946149,4
757d554a3f08d,5
c297c6f10a9aa,6
a49d2626efdcb,7
0bf6eadbf8724,8
5f15c3e0fcb15,9
a90b0dfbd01d4,10
76024d0039f07,11
ade288e5d74f,12
4e0ee92bdc822,13
6156b5830a9ab,0
dff168f43f4,1
f67e0691b309,2
ba01f9271d077,3
68bf084981a3d,4
174f218be3734,5
a8fc55ae18872,6
dc842ec66e0a2,7
078d1ae7eab7,8
74260d5e5ea9f,9
048b3cee40253,10
887cd1f1a3b02,11
b161aa7b2c027,12
939b01550cccf,13
a4e93f0f89bf4,0
301c63b3ff7d,1
60bb8325099d2,2
a3a1bfe60cee7,3
834bca80a32fc,4
161af06de12ab,5
e0453cea28995,6
0ae76df971b4d,7
6a85cf004fd68,8
3725aeae8e78f,9
f5423151c4fc4,10
bc7ec6fc32701,11
2f378acc16b3a,12
f3e0f2c153eeb,13
7884ddcd640e4,0
f8c70d64f7295,1
049d0f09bd3f7,2
8fbac6e7c1754,3
8c49a60edc54a,4
f63609eb8ad1b,5
315e689643f4e,6
cb8a2c19c45db,7
69489d273949e,8
ffb168bae711f,9
a830887d926d4,10
db2c2f195bc86,11
2ecbfebbaec0c,12
c8cd067a555a4,13
129122f571e7d,0
6d7578863ffe63,1
12c120da4a8a83,2
d58999547bfda3,3
7120956cd09ee,4
117c616baa7e3,5
fcbc3339c1ee23,6
359c09b0b85a7,7
cab0c007213c23,8
0c5d59e6e3dfe3,9
64c6c544567fa3,10
9f021def336a33,11
282677a7c5a593,12
d1f42ccda03a3,13
b5dd4313edeb59,0
a5be8fb080429,1
ed7d1c83a208e,2
8d31fcbd4bd099,3
d2fb0d656fbab9,4
394e08cd09ad89,5
05b965dc182b4,6
1e2c4645b66a59,7
84aad33e7ffad,8
b61d4c59372889,9
4b0942f37d89c9,10
cc0244622c68a9,11
f5daf4e5a36389,12
4040e2f3309d4,13