subject_id,unit
59687922,centimeters
59688062,centimeters
59963296,centimeters
58746163,millimeters
58642749,millimeters
58642765,millimeters
58746240,millimeters
58746247,millimeters
58746373,millimeters
58746377,centimeters
58746473,millimeters
58746554,centimeters
58746600,centimeters
58753880,centimeters
58753917,centimeters
58754005,centimeters
58754029,centimeters
58754043,centimeters
58754049,millimeters
58754057,millimeters
58754071,millimeters
58754074,millimeters
58754094,millimeters
58754103,millimeters
58754120,millimeters
58754131,centimeters
58754202,centimeters
58754340,centimeters
58754527,millimeters
58754531,millimeters
58754537,millimeters
58754556,millimeters
58754885,centimeters
58754891,centimeters
58754946,millimeters
58755052,millimeters
58755099,millimeters
58755103,millimeters
58755107,millimeters
58755177,millimeters
58755178,millimeters
58755194,millimeters
58755195,millimeters
58755205,millimeters
58755260,millimeters
59073197,centimeters
59152209,centimeters
59687854,centimeters
59687978,millimeters
59688026,millimeters
59688034,millimeters
59688037,millimeters
59688038,millimeters
59688070,millimeters
59962359,millimeters
59962442,millimeters
59962662,millimeters
59962821,millimeters
59962833,millimeters
59962925,millimeters
59963071,millimeters
59963112,millimeters
59963147,millimeters
59963171,millimeters
59963248,millimeters
59963262,millimeters
59963264,millimeters
59963293,millimeters
59963721,millimeters
59963725,millimeters
59963790,millimeters
61362021,millimeters
61362028,millimeters
61362029,millimeters
61362049,millimeters
61362072,millimeters
61362073,millimeters
61362084,millimeters
61362100,millimeters
61362116,millimeters
61362121,millimeters
61362208,millimeters
61362217,millimeters
61379419,millimeters
58755199,millimeters
58754643,millimeters
61362099,millimeters
58754915,millimeters
58754645,millimeters
58755095,millimeters
58746326,millimeters
58746371,centimeters
58746568,centimeters
58754016,centimeters
58746549,centimeters
58754235,centimeters
58753899,centimeters
59963549,centimeters
59963581,centimeters
58753945,centimeters
59964512,centimeters
58746472,millimeters
58754519,millimeters
58753952,centimeters
59687890,centimeters
58642636,millimeters
58746453,millimeters
59962418,millimeters
59963209,millimeters
59688099,millimeters
59962931,millimeters
59963757,millimeters
59962342,millimeters
58642695,millimeters
58746501,centimeters
59687829,centimeters
58753920,centimeters
59962511,centimeters
59687883,centimeters
58642744,millimeters
58755024,millimeters
58642767,millimeters
58754274,millimeters
58642693,millimeters
58753902,centimeters
58753944,centimeters
58754028,centimeters
59962548,centimeters
59963812,millimeters
58754114,millimeters
58755182,millimeters
58746179,millimeters
58755105,millimeters
59687873,centimeters
59963177,millimeters
59963246,millimeters
59963083,millimeters
58746241,millimeters
58642757,millimeters
58746142,millimeters
58746454,millimeters
59688094,millimeters
58746471,millimeters
58754106,millimeters
58642848,millimeters
59963076,millimeters
58642639,millimeters
59963217,millimeters
59963651,centimeters