"subject_id","dam_height_min_m","dam_height_max_m"
63264307,1.981,NA
63264311,1.981,NA
63264314,0.305,NA
63264327,11.277,NA
63264328,0.305,0.61
63264333,0.61,NA
63264346,0.203,NA
63264347,0.914,NA
63264348,0.914,NA
63264349,5.181,NA
63264354,3.962,NA
63264355,0.305,NA
63264357,3.962,NA
63264358,0.305,NA
63264368,NA,NA
63264370,0.305,NA
63264373,0.61,NA
63264376,NA,NA
63264377,0.305,NA
63264395,0.914,NA
63264399,0.61,0.914
63264402,3.048,NA
63264403,0.61,NA
63264404,0.61,NA
63264407,0.61,NA
63264409,0.914,NA
63264411,3.048,NA
63264414,0.61,NA
63264422,1.829,NA
63264425,6.096,NA
63264430,1.829,NA
63264432,1.829,NA
63264433,6.096,NA
63264434,8.534,NA
63264438,1.524,NA
63264439,13.715,NA
63264440,NA,NA
63264441,9.144,NA
63264455,1.524,NA
63264468,0.61,NA
63264475,0.305,NA
63264485,0.914,NA
63264487,1.524,NA
63264490,NA,NA
63264492,0.61,NA
63264495,1.219,NA
63264499,1.219,NA
63264501,0.914,NA
63264504,0.914,NA
63264507,0.305,NA
63264509,1.524,1.829
63264516,0.61,NA
63264532,1.829,NA
63264535,NA,NA
63264540,0.61,NA
63264543,0.914,NA
63264544,1.219,NA
63264556,12.496,NA
63264557,2.743,NA
63264558,2.743,3.048
63264559,0,NA
63264564,5.486,NA
63264566,12.191,NA
63264581,3.657,NA
63264594,6.096,NA
63264607,NA,NA
63264609,1.829,NA
63264611,1.829,NA
63264614,1.219,NA
63264619,0.457,NA
63264626,1.219,NA
63264629,0.61,NA
63264631,0.305,NA
63264641,0.914,NA
63264642,0.305,NA
63264643,0.61,NA
63264645,1.067,NA
63264650,0.61,0.914
63264656,0.457,NA
63264662,NA,NA
63264681,1.219,NA
63264685,0.61,NA
63264694,0.61,NA
63264705,1.219,NA
63264712,1.829,NA
63264716,0.61,NA
63264717,2.438,NA
63264722,0.254,NA
63264726,3.048,4.572
63264727,0.61,NA
63264734,1.524,NA
63264738,0.61,NA
63264741,0.61,NA
63264746,0.61,NA
63264755,0.152,NA
63264767,NA,NA
63264768,NA,NA
63264808,0.457,NA
63264820,1.219,1.524
63264840,2.133,NA
63264861,0.914,NA
63264865,0.61,NA
63264871,0.61,NA
63264872,0.61,NA
63264875,0.61,NA
63264883,5.486,NA
63264890,1.829,NA
63264893,NA,NA
63264896,0.305,NA
63264905,0.457,NA
63264916,1.219,NA
63264919,0.61,NA
63264920,0.914,NA
63264926,0.914,NA
63264931,0.762,NA
63264932,4.572,NA
63264936,1.372,NA
63264939,4.572,NA
63264942,0.381,NA
63264944,3.353,NA
63264946,4.572,NA
63264952,4.572,NA
63264954,1.219,NA
63264972,0.305,NA
63264983,0.61,NA
63264987,15.239,NA
63264988,1.829,NA
63265013,4.877,NA
63265020,4.572,NA
63265021,6.096,NA
63265022,6.096,NA
63265024,0.61,NA
63265033,10.058,NA
63265036,10.058,NA
63265037,5.486,NA
63265039,3.657,NA
63265044,NA,NA
63265064,0.914,NA
63265065,NA,NA
63265071,2.133,NA
63265096,0.61,NA
63265102,0.305,NA
63265105,0.305,NA
63265116,0.914,NA
63265122,0.61,NA
63265137,0,NA
63265173,0.457,NA
63265180,1.524,NA
63265181,NA,NA
63265186,0.61,NA
63265190,5.044,NA
63265191,11.277,NA
63265192,3.048,NA
63265193,0.457,NA
63265194,3.657,NA
63265195,3.048,NA
63265196,3.048,NA
63265198,4.877,NA
63265199,4.877,NA
63265200,4.877,NA
63265201,4.877,NA
63265202,3.048,NA
63265204,3.048,NA
63265206,4.877,NA
63265209,4.877,NA
63265211,0.914,NA
63265212,0.305,NA
63265220,3.048,NA
63265224,0.61,NA
63265226,0.457,NA
63265234,0.305,NA
63265236,17.373,NA
63265242,0.61,NA
63265243,0.762,NA
63265245,0.61,NA
63265260,0.305,NA
63265264,6.4,NA
63265276,NA,NA
63265292,NA,NA
63265296,0.61,NA
63265298,1.524,NA
63265302,4.572,NA
63265303,NA,NA
63265311,6.4,NA
63265314,0.152,NA
63265328,0.61,NA
63265334,1.524,NA
63265335,0.61,NA
63265338,0.61,NA
63265347,0.61,NA
63265349,0.61,NA
63265357,0.305,NA
63265358,0.152,NA
63265417,2.133,NA
63265437,0.914,NA
63265440,6.096,NA
63265441,3.657,NA
63265445,1.524,NA
63265448,1.524,NA
63265449,3.353,NA
63265450,3.353,NA
63265460,0.61,NA
63265461,7.62,NA
63265462,7.62,NA
63265463,0.914,NA
63265465,0.914,NA
63265473,3.657,NA
63265475,3.048,NA
63265479,0.61,NA
63265481,0.61,NA
63265484,1.829,NA
63265487,NA,NA
63265488,0.305,NA
63265494,0.457,NA
63265496,1.219,NA
63265513,0.61,NA
63265531,0.051,NA
63265535,0.914,NA
63265536,0,NA
63265537,0,NA
63265550,NA,NA
63265562,NA,NA
63265566,3.353,NA
63265573,0.914,NA
63265576,0.61,NA
63265578,0.61,NA
63265584,3.048,NA
63265585,0.61,NA
63265588,0.914,1.219
63265594,0.61,NA
63265600,0.61,NA
63265605,1.524,NA
63265615,0.61,NA
63265622,0.61,NA
63265642,0.61,NA
63265649,0.914,NA
63265653,0.61,NA
63265658,0.61,NA
63265660,0.914,NA
63265669,4.267,NA
63265670,4.267,NA
63265674,0.305,NA
63265683,NA,NA
63265689,0.762,NA
63265691,0.914,NA
63265695,NA,NA
63265696,12.191,NA
63265706,3.657,NA
63265711,7.62,NA
63265717,1.524,NA
63265720,0.61,NA
63265721,0.914,NA
63265722,0.61,NA
63265723,0.305,NA
63265729,1.219,NA
63265739,0.914,NA
63265748,3.657,NA
63265751,2.743,NA
63265752,6.096,NA
63265761,1.067,1.219
63265765,12.801,NA
63265767,0.381,NA
63265768,3.048,NA
63265769,30.479,NA
63265772,1.524,NA
63265773,0.305,NA
63265778,0.381,NA
63265779,0.381,NA
63265780,5.181,NA
63265782,0.381,NA
63265783,0.914,NA
63265785,0.305,NA
63265787,5.181,NA
63265788,1.219,NA
63265789,0.914,NA
63265795,1.219,NA
63265801,NA,NA
63265814,2.438,NA
63265832,3.048,NA
63265854,0.914,NA
63265865,0.305,NA
63265871,0.61,NA
63265912,0.305,NA
63265914,0.305,NA
63265917,0.914,NA
63265926,6.096,NA
63265930,1.524,NA
63265931,0.61,NA
63265939,0.61,NA
63265941,2.438,3.048
63265944,0.305,NA
63265946,NA,NA
63265974,0.914,NA
63265977,0.762,NA
63265978,1.524,NA
63265980,1.524,NA
63265984,3.657,NA
63266001,0.305,NA
63266003,0.646,NA
63266013,0.305,NA
63266014,1.219,NA
63266016,0.305,NA
63266028,0.914,NA
63266037,0.457,NA
63266038,6.096,NA
63266041,4.572,NA
63266046,NA,NA
63266047,5.486,NA
63266050,10.058,NA
63266052,5.486,NA
63266055,1.524,2.133
63266059,4.038,NA
63266066,9.144,NA
63266067,4.572,NA
63266068,2.286,NA
63266070,3.048,NA
63266071,1.524,NA
63266074,21.335,NA
63266078,4.572,NA
63264322,6.096,9.144
63264353,NA,NA
63264400,0.305,1.219
63264410,NA,NA
63264412,NA,NA
63264429,0.457,NA
63264436,1.219,NA
63264447,0.914,NA
63264462,NA,NA
63264478,1.524,1.829
63264483,0.914,NA
63264505,0.61,0.914
63264519,1.219,1.524
63264563,12.191,NA
63264578,2.438,NA
63264587,NA,NA
63264590,NA,NA
63264596,NA,NA
63264646,NA,NA
63264647,NA,NA
63264652,NA,NA
63264657,NA,NA
63264658,NA,NA
63264691,0.914,1.219
63264733,NA,NA
63264742,NA,NA
63264745,0.61,NA
63264758,0.305,NA
63264765,NA,NA
63264777,NA,NA
63264778,NA,NA
63264796,NA,NA
63264801,NA,NA
63264825,NA,NA
63264843,NA,NA
63264878,NA,NA
63264903,0.457,NA
63264913,NA,NA
63264924,0.61,NA
63264938,0.051,0.102
63264940,NA,NA
63264960,NA,NA
63264965,NA,NA
63264973,0.914,1.219
63264976,NA,NA
63264978,NA,NA
63264979,0.914,NA
63264981,0.152,0.305
63264984,NA,NA
63265019,NA,NA
63265031,NA,NA
63265038,NA,NA
63265040,5.486,NA
63265062,0.762,NA
63265073,NA,NA
63265086,0.61,NA
63265104,3.657,4.572
63265115,NA,NA
63265144,NA,NA
63265222,NA,NA
63265239,NA,NA
63265246,NA,NA
63265251,NA,NA
63265265,1.524,NA
63265270,NA,NA
63265277,NA,NA
63265286,NA,NA
63265288,NA,NA
63265312,NA,NA
63265313,NA,NA
63265316,NA,NA
63265318,0.406,NA
63265320,NA,NA
63265325,NA,NA
63265329,NA,NA
63265346,NA,NA
63265363,NA,NA
63265366,NA,NA
63265371,NA,NA
63265377,NA,NA
63265382,NA,NA
63265392,NA,NA
63265396,NA,NA
63265398,NA,NA
63265431,NA,NA
63265439,NA,NA
63265442,NA,NA
63265454,0.457,NA
63265492,0.457,NA
63265495,NA,NA
63265506,NA,NA
63265507,1.829,2.438
63265508,1.219,NA
63265542,NA,NA
63265544,NA,NA
63265553,NA,NA
63265568,3.048,3.657
63265580,0.914,1.219
63265606,NA,NA
63265630,NA,NA
63265632,NA,NA
63265638,0.457,NA
63265640,NA,NA
63265643,6.096,NA
63265656,0.102,0.152
63265661,NA,NA
63265692,NA,NA
63265697,0.914,NA
63265700,NA,NA
63265704,NA,NA
63265714,0.508,NA
63265747,NA,NA
63265755,NA,NA
63265771,1.524,NA
63265784,NA,NA
63265798,NA,NA
63265805,0.61,NA
63265849,NA,NA
63265874,NA,NA
63265898,NA,NA
63265918,NA,NA
63265938,NA,NA
63265953,NA,NA
63266000,NA,NA
63266015,NA,NA
63266019,NA,NA
63266021,NA,NA
63266033,NA,NA
63266061,NA,NA
63266079,NA,NA
